,Address,Baths,Beds,Garage,Home Size,Locality,Lot Size,Price,Property Type
135,"6400 Prairie Ridge Rd, Ames, IA 50014 6400 Prairie Ridge Rd Ames IA 50014",3bath,3bed,No Value,"1,106sqft",No Value,0.37acres lot,"$262,500",House for Sale
136,"1705 Ledges Dr, Ames, IA 50010 1705 Ledges Dr Ames IA 50010",2bath,3bed,No Value,"1,439sqft",No Value,No Value,"$317,557",House for Sale
137,"4239 Stone Brooke Rd, Ames, IA 50010 4239 Stone Brooke Rd Ames IA 50010",3bath,3bed,No Value,"1,659sqft",No Value,No Value,"$359,000",
138,"1320 Indiana Ave, Ames, IA 50014 1320 Indiana Ave Ames IA 50014",2bath,3bed,No Value,752sqft,No Value,No Value,"$160,000",
139,"2230 Hamilton Dr, Ames, IA 50014 2230 Hamilton Dr Ames IA 50014",2.5bath,3bed,No Value,"1,504sqft",No Value,No Value,"$275,000",
140,"2511 Bristol Dr Unit 205, Ames, IA 50010 2511 Bristol Dr Unit 205 Ames IA 50010",1bath,1bed,No Value,752sqft,No Value,No Value,"$114,000",
141,"3312 Eisenhower Ave, Ames, IA 50010 3312 Eisenhower Ave Ames IA 50010",2.5bath,3bed,No Value,"1,479sqft",No Value,0.28acres lot,"$249,900",House for Sale
142,"609 Luther Dr, Ames, IA 50010 609 Luther Dr Ames IA 50010",2bath,2bed,No Value,"1,035sqft",No Value,"8,800sqft lot","$179,900",House for Sale
143,"1412 Harding Ave, Ames, IA 50010 1412 Harding Ave Ames IA 50010",2.5bath,4bed,No Value,"1,728sqft",No Value,No Value,"$229,000",House for Sale
144,"4510 Twain Cir Unit 306, Ames, IA 50014 4510 Twain Cir Unit 306 Ames IA 50014",1bath,1bed,No Value,658sqft,No Value,No Value,"$123,500",
145,"2124 Pintail Ridge Ln, Ames, IA 50010 2124 Pintail Ridge Ln Ames IA 50010",3.5bath,3bed,No Value,"3,535sqft",No Value,2.96acres lot,"$850,000",House for Sale
146,"2021 Audubon Dr, Ames, IA 50010 2021 Audubon Dr Ames IA 50010",3bath,4bed,No Value,"1,724sqft",No Value,"8,560sqft lot","$449,950",House for Sale
147,"5234 Springbrook Dr, Ames, IA 50014 5234 Springbrook Dr Ames IA 50014",2bath,3bed,No Value,"1,410sqft",No Value,0.26acres lot,"$339,119",House for Sale
148,"5301 Westfield Dr, Ames, IA 50014 5301 Westfield Dr Ames IA 50014",3bath,4bed,No Value,"1,802sqft",No Value,No Value,"$449,900",House for Sale
149,"415 Stanton Ave Apt 216, Ames, IA 50014 415 Stanton Ave Apt 216 Ames IA 50014",2bath,2bed,No Value,"1,042sqft",No Value,No Value,"$259,000",
150,"3020 Evergreen Cir, Ames, IA 50014 3020 Evergreen Cir Ames IA 50014",3.5bath,4bed,No Value,"1,930sqft",No Value,0.26acres lot,"$311,900",House for Sale
